Drug 1,Drug 2,Tanimoto,Cosine,Difference
Clofazimine,Rifampicin,0.05223880597014925,0.5515746342994031,0.4993358283292539
Clofazimine,Levofloxacin,0.052083333333333336,0.49791162707353676,0.44582829374020344
Amikacin,Delamanid,0.05172413793103448,0.04968726077042036,0.0020368771606141187
Bedaquiline,Capreomycin,0.051094890510948905,-0.07366900668693913,0.12476389719788802
Delamanid,Kanamycin,0.050505050505050504,0.06570892002589979,0.015203869520849282
Bedaquiline,Rifampicin,0.04929577464788732,0.518821807049631,0.4695260324017437
Ethionamide,Kanamycin,0.047619047619047616,0.13914619900907627,0.09152715139002865
Clofazimine,Ethambutol,0.046875,0.2009056667137305,0.1540306667137305
Isoniazid,Rifampicin,0.04672897196261682,0.20693354792142726,0.16020457595881044
Pyrazinamide,Rifampicin,0.04672897196261682,0.02616174821946562,0.0205672237431512
Kanamycin,Levofloxacin,0.046511627906976744,-0.02897211525255857,0.07548374315953532
Clofazimine,Pyrazinamide,0.04411764705882353,0.29426636484196594,0.2501487177831424
Kanamycin,Moxifloxacin,0.042105263157894736,0.022122730852001275,0.01998253230589346
Capreomycin,Clofazimine,0.03816793893129771,-0.02529909761521138,0.06346703654650909
Amikacin,Ethionamide,0.037037037037037035,0.11883344716419797,0.08179641012716093
Amikacin,Bedaquiline,0.036036036036036036,-0.021268580779618705,0.05730461681565474
Bedaquiline,Streptomycin,0.035398230088495575,-0.02087752087349347,0.05627575096198904
Ethionamide,Rifampicin,0.03508771929824561,0.23270398126308675,0.19761626196484114
Kanamycin,Pyrazinamide,0.034482758620689655,0.17203209665066382,0.13754933802997416
Bedaquiline,Kanamycin,0.031914893617021274,-0.011498599830229264,0.04341349344725054
Ethambutol,Levofloxacin,0.030303030303030304,0.20814807332299828,0.17784504301996798
Ethambutol,Rifampicin,0.02857142857142857,0.0832505263729803,0.05467909780155174
Clofazimine,Streptomycin,0.02830188679245283,-0.035018998651962674,0.0633208854444155
Ethambutol,Pyrazinamide,0.02702702702702703,0.25892968105182895,0.23190265402480192
Ethambutol,Moxifloxacin,0.02666666666666667,0.211919709857865,0.18525304319119834
Delamanid,Ethambutol,0.025,0.15331486624349755,0.12831486624349756
Amikacin,Clofazimine,0.01904761904761905,-0.04809234355752606,0.06713996260514511
Clofazimine,Kanamycin,0.0,-0.0363742582230733,0.0363742582230733
